Mark ID,Mark Name,Timestamp,CPU Usage %,
0,"Start of Program",0.00,0,
1,"VSPXAutoMark",500.00,6,
2,"VSPXAutoMark","1,000.00",8,
3,"VSPXAutoMark","1,500.00",8,
4,"VSPXAutoMark","2,000.00",8,
5,"VSPXAutoMark","2,500.00",8,
6,"VSPXAutoMark","3,000.00",8,
7,"VSPXAutoMark","3,500.00",8,
8,"VSPXAutoMark","4,000.00",8,
9,"VSPXAutoMark","4,500.00",8,
10,"VSPXAutoMark","5,000.00",8,
11,"VSPXAutoMark","5,500.00",8,
12,"VSPXAutoMark","6,000.00",8,
13,"VSPXAutoMark","6,500.00",8,
14,"VSPXAutoMark","7,000.00",8,
15,"VSPXAutoMark","7,500.00",8,
16,"VSPXAutoMark","8,000.00",8,
17,"VSPXAutoMark","8,500.00",8,
18,"VSPXAutoMark","9,000.00",8,
19,"VSPXAutoMark","9,500.00",8,
20,"VSPXAutoMark","10,000.00",8,
21,"VSPXAutoMark","10,500.00",7,
22,"VSPXAutoMark","11,000.00",8,
23,"VSPXAutoMark","11,500.00",8,
24,"VSPXAutoMark","12,000.00",8,
25,"VSPXAutoMark","12,500.00",8,
26,"VSPXAutoMark","13,000.00",8,
27,"VSPXAutoMark","13,500.00",8,
28,"VSPXAutoMark","14,000.00",8,
29,"VSPXAutoMark","14,500.00",8,
30,"VSPXAutoMark","15,000.00",8,
31,"VSPXAutoMark","15,500.00",8,
32,"VSPXAutoMark","16,000.00",8,
33,"VSPXAutoMark","16,500.00",8,
34,"VSPXAutoMark","17,000.00",8,
35,"VSPXAutoMark","17,500.00",8,
36,"VSPXAutoMark","18,000.00",8,
37,"VSPXAutoMark","18,500.00",8,
38,"VSPXAutoMark","19,000.00",8,
39,"VSPXAutoMark","19,500.00",8,
40,"VSPXAutoMark","20,000.00",8,
41,"VSPXAutoMark","20,500.00",8,
42,"VSPXAutoMark","21,000.00",8,
43,"VSPXAutoMark","21,500.00",8,
44,"VSPXAutoMark","22,000.00",8,
45,"VSPXAutoMark","22,500.00",8,
46,"VSPXAutoMark","23,000.00",8,
47,"VSPXAutoMark","23,500.00",8,
48,"VSPXAutoMark","24,000.00",8,
49,"VSPXAutoMark","24,500.00",8,
50,"VSPXAutoMark","25,000.00",8,
51,"VSPXAutoMark","25,500.00",8,
52,"VSPXAutoMark","26,000.00",8,
53,"VSPXAutoMark","26,500.00",8,
54,"VSPXAutoMark","27,000.00",8,
55,"VSPXAutoMark","27,500.00",8,
56,"VSPXAutoMark","28,000.00",8,
57,"VSPXAutoMark","28,500.00",8,
58,"VSPXAutoMark","29,000.00",8,
59,"VSPXAutoMark","29,500.00",8,
60,"VSPXAutoMark","30,000.00",8,
61,"VSPXAutoMark","30,500.00",8,
62,"VSPXAutoMark","31,000.00",8,
63,"VSPXAutoMark","31,500.00",8,
64,"VSPXAutoMark","32,000.00",8,
65,"VSPXAutoMark","32,500.00",8,
66,"VSPXAutoMark","33,000.00",8,
67,"VSPXAutoMark","33,500.00",8,
68,"VSPXAutoMark","34,000.00",8,
69,"VSPXAutoMark","34,500.00",8,
70,"VSPXAutoMark","35,000.00",8,
71,"VSPXAutoMark","35,500.00",8,
72,"VSPXAutoMark","36,000.00",8,
73,"VSPXAutoMark","36,500.00",8,
74,"VSPXAutoMark","37,000.00",8,
75,"VSPXAutoMark","37,500.00",8,
76,"VSPXAutoMark","38,000.00",8,
77,"VSPXAutoMark","38,500.00",8,
78,"VSPXAutoMark","39,000.00",8,
79,"VSPXAutoMark","39,500.00",8,
80,"VSPXAutoMark","40,000.00",8,
81,"VSPXAutoMark","40,500.00",8,
82,"VSPXAutoMark","41,000.00",8,
83,"VSPXAutoMark","41,500.00",8,
84,"VSPXAutoMark","42,000.00",8,
85,"VSPXAutoMark","42,500.00",8,
86,"VSPXAutoMark","43,000.00",8,
87,"VSPXAutoMark","43,500.00",8,
88,"VSPXAutoMark","44,000.00",8,
89,"VSPXAutoMark","44,500.00",8,
90,"VSPXAutoMark","45,000.00",8,
91,"VSPXAutoMark","45,500.00",8,
92,"VSPXAutoMark","46,000.00",8,
93,"VSPXAutoMark","46,500.00",8,
94,"VSPXAutoMark","47,000.00",8,
95,"VSPXAutoMark","47,500.00",8,
